Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Series Name,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated,ID,Genre1,Genre2,Genre3,Genre
"Cast, P. C.",Hidden (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",,,Florida,Indian River County School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Shetterly, Margot Lee",Hidden Figures: The True Story of Four Black Women and the Space Race,Banned in Classrooms,"Conkling, Winifred","Freeman, Laura",,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Terrell, Brandon",High Drama (Suspended Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Sato, Daisuke","High School of the Dead, Vol. 1",Banned Pending Investigation,,"Sato, Shouji","Dashiell, Christine",Pennsylvania,Penncrest School District,February 2023,Administration,High School of the Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Whaley, John Corey",Highly Illogical Behavior,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agoraphobia,Children's fiction,Fiction,Friendship,Friendship, fiction,Gays,Homosexuality, fiction,Panic attacks"
"Whaley, John Corey",Highly Illogical Behavior,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agoraphobia,Children's fiction,Fiction,Friendship,Friendship, fiction,Gays,Homosexuality, fiction,Panic attacks"
"Kennedy, Elle",Him,Banned Pending Investigation,"Bowen, Sarina",,,Minnesota,Sartell-St. Stephen ISD 748,January 2023,Informal Challenge,Him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Becker, Harmony",Himawari House,Banned from Libraries and Classrooms,,,,Missouri,Kirkwood School District,October 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sussy
"Becker, Harmony",Himawari House,Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sussy
"Silvera, Adam",History Is All You Left Me,Banned from Libraries and Classrooms,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"California, fiction,Children's fiction,Fiction,First loves,Gay teenagers,Gays,Grief,Grief, fiction,Juvenile fiction,Love,Love, fiction,Obsessive-compulsive disorder,Romance fiction,Students, fiction,Young adult fiction,Young adult literature"
"Silvera, Adam",History Is All You Left Me,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"California, fiction,Children's fiction,Fiction,First loves,Gay teenagers,Gays,Grief,Grief, fiction,Juvenile fiction,Love,Love, fiction,Obsessive-compulsive disorder,Romance fiction,Students, fiction,Young adult fiction,Young adult literature"
"Silvera, Adam",History Is All You Left Me,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"California, fiction,Children's fiction,Fiction,First loves,Gay teenagers,Gays,Grief,Grief, fiction,Juvenile fiction,Love,Love, fiction,Obsessive-compulsive disorder,Romance fiction,Students, fiction,Young adult fiction,Young adult literature"
"Augustin, Marion",History of Western Art in Comics Part One: From Prehistory to the Renaissance,Banned Pending Investigation,,"Heitz, Bruno",,Missouri,Wentzville School District,September 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Allen, John",Hitler's Final Solution,Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,Understanding the Holocaust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"History,Holocaust, Jewish (1939-1945),Jews,Juvenile literature,Persecutions"
"Gale, Heather",Ho'onani: Hula Warrior,Banned Pending Investigation,,"Song, Mika",,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Salisbury, Melinda",Hold Back the Tide,Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Levithan, David",Hold Me Closer: The Tiny Cooper Story,Banned from Libraries and Classrooms,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"Will Grayson, Will Grayson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Levithan, David","Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Levithan, David","Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)",Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Levithan, David","Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)",Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"LaCour, Nina",Hold Still,Banned Pending Investigation,,,,Pennsylvania,Penncrest School District,February 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bereavement,Best friends,Children's fiction,Diaries,Diaries, fiction,Emotions, fiction,Fiction,Friendship,Friendship, fiction,Grief,Grief, fiction,High schools,Juvenile Fiction,Juvenile fiction,Psychological fiction,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Schools, fiction,Suicide,Suicide, fiction"
"Roberts, Nora",Holding the Dream,Banned from Libraries and Classrooms,,,,Florida,Martin County Schools,March 2023,Formal Challenge,Dream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Businesswomen,California, fiction,FICTION / Romance / General,Fiction,Fiction, romance, contemporary,Fiction, romance, general,Friendship,Friendship in fiction,Large type books,Life change events,Love stories,Love stories, American,Monterey (calif.), fiction,Open Library Staff Picks,Professional ethics,Romance fiction,Young women"
"Niven, Jennifer",Holding up the Universe,Banned Pending Investigation,,,,Pennsylvania,Penncrest School District,February 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents en surpoids,Amour,Brain,Cerveau,Children's fiction,Contemporary,Depression,Discrimination against overweight persons,Discrimination à l'égard des personnes en surpoids,Diseases, fiction,Fiction,General,Homeschooling,Juvenile fiction,Love,Love, fiction,Lésions et blessures,Man-woman relationships,Obesity,Obésité,Overweight teenagers,Prosopagnosia,Prosopagnosie,Romance,Romans, nouvelles, etc. pour la jeunesse,Self-Esteem & Self-Reliance,Social Themes,Weight loss,Wounds and injuries,YOUNG ADULT FICTION,YOUNG ADULT FICTION / Romance / General,YOUNG ADULT FICTION / Social Themes / Depression,YOUNG ADULTFICTION,YOUNG ADULTFICTION / Social Themes / Self-Esteem & Self-Reliance"
"Riggs, Ransom",Hollow City: The Graphic Novel,Banned Pending Investigation,,"Jean, Cassandra",,Missouri,Wentzville School District,September 2022,Legislative Action,Miss Peregrine's Peculiar Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comics & graphic novels, fantasy, general,Escapes, fiction,London (england), fiction,Orphanages, fiction,Supernatural, fiction"
"Blohm, Craig E.",Holocaust Camps and Killing Centers,Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,Understanding the Holocaust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Concentration camps,Holocaust, Jewish (1939-1945),Juvenile literature,World War, 1939-1945"
"Blohm, Craig E.",Holocaust Rescue and Liberation,Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,Understanding the Holocaust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Holocaust, Jewish (1939-1945),Holocaust, jewish (1939-1945), juvenile literature,Jews,Juvenile literature,Rescue,Righteous Gentiles in the Holocaust,World War, 1939-1945,World war, 1939-1945, jews,World war, 1939-1945, juvenile literature"
"Blohm, Craig E.",Holocaust Resistance,Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,Understanding the Holocaust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Holocaust, Jewish (1939-1945),Holocaust, jewish (1939-1945), juvenile literature,Jewish resistance,Juvenile literature,World War, 1939-1945,World war, 1939-1945, juvenile literature"
"Lemm, Trinity",Home (TL),Banned from Libraries and Classrooms,,,,Utah,Washington County School District,March 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Small, David",Home After Dark,Banned from Libraries and Classrooms,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescence,Bullying,COMICS & GRAPHIC NOVELS / LGBT,COMICS & GRAPHIC NOVELS / Literary,Comic books, strips,Comics & graphic novels, general,Families,Family life,Fiction,Graphic novels,Self-esteem"
"Small, David",Home After Dark,Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescence,Bullying,COMICS & GRAPHIC NOVELS / LGBT,COMICS & GRAPHIC NOVELS / Literary,Comic books, strips,Comics & graphic novels, general,Families,Family life,Fiction,Graphic novels,Self-esteem"
"Small, David",Home After Dark,Banned from Libraries,,,,Missouri,Webster Groves School District,September 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescence,Bullying,COMICS & GRAPHIC NOVELS / LGBT,COMICS & GRAPHIC NOVELS / Literary,Comic books, strips,Comics & graphic novels, general,Families,Family life,Fiction,Graphic novels,Self-esteem"
"Small, David",Home After Dark,Banned from Libraries and Classrooms,,,,Missouri,Rockwood School District,August 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescence,Bullying,COMICS & GRAPHIC NOVELS / LGBT,COMICS & GRAPHIC NOVELS / Literary,Comic books, strips,Comics & graphic novels, general,Families,Family life,Fiction,Graphic novels,Self-esteem"
"Small, David",Home After Dark,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,January 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescence,Bullying,COMICS & GRAPHIC NOVELS / LGBT,COMICS & GRAPHIC NOVELS / Literary,Comic books, strips,Comics & graphic novels, general,Families,Family life,Fiction,Graphic novels,Self-esteem"
"Small, David",Home After Dark,Banned from Libraries,,,,Missouri,North Kansas City Schools,September 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescence,Bullying,COMICS & GRAPHIC NOVELS / LGBT,COMICS & GRAPHIC NOVELS / Literary,Comic books, strips,Comics & graphic novels, general,Families,Family life,Fiction,Graphic novels,Self-esteem"
"Small, David",Home After Dark,Banned from Libraries,,,,Missouri,Independence School District,October 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescence,Bullying,COMICS & GRAPHIC NOVELS / LGBT,COMICS & GRAPHIC NOVELS / Literary,Comic books, strips,Comics & graphic novels, general,Families,Family life,Fiction,Graphic novels,Self-esteem"
"Kaur, Rupi",Home Body,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,January 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English literature,New York Times bestseller,Poetry (poetic works by one author),nyt:combined-print-and-e-book-fiction=2020-12-06"
"Kaur, Rupi",Home Body,Banned from Libraries and Classrooms,,,,Florida,Brevard Public Schools,AY 2022-2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English literature,New York Times bestseller,Poetry (poetic works by one author),nyt:combined-print-and-e-book-fiction=2020-12-06"
"Kaur, Rupi",Home Body,Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English literature,New York Times bestseller,Poetry (poetic works by one author),nyt:combined-print-and-e-book-fiction=2020-12-06"
"Green, Tim",Home Run,Banned from Libraries,,,,Texas,Frisco Independent School District,November 2022,Administration,Baseball Great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baseball,Baseball stories,Baseball, fiction,Children's fiction,Contests,Contests, fiction,Families,Family life,Family life, fiction,Family, fiction,Fiction,Juvenile fiction"
"Elya, Susan Middleton",Home at Last,Banned Pending Investigation,,"Davalos, Felipe",,Florida,Walton County School District,April 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Fiction,Juvenile fiction,Mexican Americans,Mexican americans, fiction"
"Vogel Frederick, Heather",Home for the Holidays,Banned from Libraries,,,,Texas,Frisco Independent School District,November 2022,Administration,The Mother-Daughter Book Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure and adventurers, fiction,Books and reading,California, fiction,Children's fiction,Christmas, fiction,Clubs,Fiction,Holidays,Holidays, fiction,Interpersonal relations,Juvenile fiction,Mother-daughter relationship,Mothers and daughters,Mothers and daughters, fiction"
"Khan, Brooke",Home of the Brave: 15 Immigrants Who Shaped U.S. History,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Voigt, Cynthia",Homecoming (CV),Banned from Libraries,,,,Texas,Frisco Independent School District,October 2022,Administration,Tillerman Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Charlton-Trujillo, E. E.",Homecoming (Fat Angie Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Gyasi, Yaa",Homegoing,Banned Pending Investigation,,,,Oregon,Canby Public School District,March 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American,African American Fiction,African American Historical Fiction,African Americans,African american,African american historical fiction,African americans,African americans, fiction,Enslaved persons, fiction,FICTION,FICTION / African American / Historical,FICTION / Literary,FICTION / Sagas,Fiction,Fiction / african american / historical,Fiction / literary,Fiction / sagas,Fiction, african american & black, historical,Fiction, african american, historical,General,Historical,Historical fiction,History,LGBTQ historical fiction,Large type books,Lgbtq historical fiction,Literary,Literary fiction,Literature,New York Times bestseller,New York Times reviewed,New york times bestseller,New york times reviewed,Nyt:hardcover-fiction=2016-06-26,Saga,Sagas,Slavery,Slaves, fiction,Women,collectionID:EanesChallenge,collectionID:bannedbooks,historical fiction,history,literary fiction,nyt:hardcover-fiction=2016-06-26,saga,slavery,women"
"Gyasi, Yaa",Homegoing,Banned in Libraries,,,,Missouri,Nixa Public Schools,May 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American,African American Fiction,African American Historical Fiction,African Americans,African american,African american historical fiction,African americans,African americans, fiction,Enslaved persons, fiction,FICTION,FICTION / African American / Historical,FICTION / Literary,FICTION / Sagas,Fiction,Fiction / african american / historical,Fiction / literary,Fiction / sagas,Fiction, african american & black, historical,Fiction, african american, historical,General,Historical,Historical fiction,History,LGBTQ historical fiction,Large type books,Lgbtq historical fiction,Literary,Literary fiction,Literature,New York Times bestseller,New York Times reviewed,New york times bestseller,New york times reviewed,Nyt:hardcover-fiction=2016-06-26,Saga,Sagas,Slavery,Slaves, fiction,Women,collectionID:EanesChallenge,collectionID:bannedbooks,historical fiction,history,literary fiction,nyt:hardcover-fiction=2016-06-26,saga,slavery,women"
"Gyasi, Yaa",Homegoing,Banned Pending Investigation,,,,Georgia,Cherokee County School District,March 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American,African American Fiction,African American Historical Fiction,African Americans,African american,African american historical fiction,African americans,African americans, fiction,Enslaved persons, fiction,FICTION,FICTION / African American / Historical,FICTION / Literary,FICTION / Sagas,Fiction,Fiction / african american / historical,Fiction / literary,Fiction / sagas,Fiction, african american & black, historical,Fiction, african american, historical,General,Historical,Historical fiction,History,LGBTQ historical fiction,Large type books,Lgbtq historical fiction,Literary,Literary fiction,Literature,New York Times bestseller,New York Times reviewed,New york times bestseller,New york times reviewed,Nyt:hardcover-fiction=2016-06-26,Saga,Sagas,Slavery,Slaves, fiction,Women,collectionID:EanesChallenge,collectionID:bannedbooks,historical fiction,history,literary fiction,nyt:hardcover-fiction=2016-06-26,saga,slavery,women"
"Gyasi, Yaa",Homegoing,Banned from Libraries and Classrooms,,,,Florida,Clay County School District,July 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American,African American Fiction,African American Historical Fiction,African Americans,African american,African american historical fiction,African americans,African americans, fiction,Enslaved persons, fiction,FICTION,FICTION / African American / Historical,FICTION / Literary,FICTION / Sagas,Fiction,Fiction / african american / historical,Fiction / literary,Fiction / sagas,Fiction, african american & black, historical,Fiction, african american, historical,General,Historical,Historical fiction,History,LGBTQ historical fiction,Large type books,Lgbtq historical fiction,Literary,Literary fiction,Literature,New York Times bestseller,New York Times reviewed,New york times bestseller,New york times reviewed,Nyt:hardcover-fiction=2016-06-26,Saga,Sagas,Slavery,Slaves, fiction,Women,collectionID:EanesChallenge,collectionID:bannedbooks,historical fiction,history,literary fiction,nyt:hardcover-fiction=2016-06-26,saga,slavery,women"
"Gyasi, Yaa",Homegoing,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American,African American Fiction,African American Historical Fiction,African Americans,African american,African american historical fiction,African americans,African americans, fiction,Enslaved persons, fiction,FICTION,FICTION / African American / Historical,FICTION / Literary,FICTION / Sagas,Fiction,Fiction / african american / historical,Fiction / literary,Fiction / sagas,Fiction, african american & black, historical,Fiction, african american, historical,General,Historical,Historical fiction,History,LGBTQ historical fiction,Large type books,Lgbtq historical fiction,Literary,Literary fiction,Literature,New York Times bestseller,New York Times reviewed,New york times bestseller,New york times reviewed,Nyt:hardcover-fiction=2016-06-26,Saga,Sagas,Slavery,Slaves, fiction,Women,collectionID:EanesChallenge,collectionID:bannedbooks,historical fiction,history,literary fiction,nyt:hardcover-fiction=2016-06-26,saga,slavery,women"
"Gyasi, Yaa",Homegoing,Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American,African American Fiction,African American Historical Fiction,African Americans,African american,African american historical fiction,African americans,African americans, fiction,Enslaved persons, fiction,FICTION,FICTION / African American / Historical,FICTION / Literary,FICTION / Sagas,Fiction,Fiction / african american / historical,Fiction / literary,Fiction / sagas,Fiction, african american & black, historical,Fiction, african american, historical,General,Historical,Historical fiction,History,LGBTQ historical fiction,Large type books,Lgbtq historical fiction,Literary,Literary fiction,Literature,New York Times bestseller,New York Times reviewed,New york times bestseller,New york times reviewed,Nyt:hardcover-fiction=2016-06-26,Saga,Sagas,Slavery,Slaves, fiction,Women,collectionID:EanesChallenge,collectionID:bannedbooks,historical fiction,history,literary fiction,nyt:hardcover-fiction=2016-06-26,saga,slavery,women"
"Gyasi, Yaa",Homegoing,Banned from Libraries,,,,North Carolina,Cumberland County Schools,April 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American,African American Fiction,African American Historical Fiction,African Americans,African american,African american historical fiction,African americans,African americans, fiction,Enslaved persons, fiction,FICTION,FICTION / African American / Historical,FICTION / Literary,FICTION / Sagas,Fiction,Fiction / african american / historical,Fiction / literary,Fiction / sagas,Fiction, african american & black, historical,Fiction, african american, historical,General,Historical,Historical fiction,History,LGBTQ historical fiction,Large type books,Lgbtq historical fiction,Literary,Literary fiction,Literature,New York Times bestseller,New York Times reviewed,New york times bestseller,New york times reviewed,Nyt:hardcover-fiction=2016-06-26,Saga,Sagas,Slavery,Slaves, fiction,Women,collectionID:EanesChallenge,collectionID:bannedbooks,historical fiction,history,literary fiction,nyt:hardcover-fiction=2016-06-26,saga,slavery,women"
"Gyasi, Yaa",Homegoing,Banned Pending Investigation,,,,Florida,St. John's County School District,January 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American,African American Fiction,African American Historical Fiction,African Americans,African american,African american historical fiction,African americans,African americans, fiction,Enslaved persons, fiction,FICTION,FICTION / African American / Historical,FICTION / Literary,FICTION / Sagas,Fiction,Fiction / african american / historical,Fiction / literary,Fiction / sagas,Fiction, african american & black, historical,Fiction, african american, historical,General,Historical,Historical fiction,History,LGBTQ historical fiction,Large type books,Lgbtq historical fiction,Literary,Literary fiction,Literature,New York Times bestseller,New York Times reviewed,New york times bestseller,New york times reviewed,Nyt:hardcover-fiction=2016-06-26,Saga,Sagas,Slavery,Slaves, fiction,Women,collectionID:EanesChallenge,collectionID:bannedbooks,historical fiction,history,literary fiction,nyt:hardcover-fiction=2016-06-26,saga,slavery,women"
"Gyasi, Yaa",Homegoing,Banned from Libraries and Classrooms,,,,Utah,Washington County School District,February 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American,African American Fiction,African American Historical Fiction,African Americans,African american,African american historical fiction,African americans,African americans, fiction,Enslaved persons, fiction,FICTION,FICTION / African American / Historical,FICTION / Literary,FICTION / Sagas,Fiction,Fiction / african american / historical,Fiction / literary,Fiction / sagas,Fiction, african american & black, historical,Fiction, african american, historical,General,Historical,Historical fiction,History,LGBTQ historical fiction,Large type books,Lgbtq historical fiction,Literary,Literary fiction,Literature,New York Times bestseller,New York Times reviewed,New york times bestseller,New york times reviewed,Nyt:hardcover-fiction=2016-06-26,Saga,Sagas,Slavery,Slaves, fiction,Women,collectionID:EanesChallenge,collectionID:bannedbooks,historical fiction,history,literary fiction,nyt:hardcover-fiction=2016-06-26,saga,slavery,women"
"Palmer, Bill",Homophobia: From Social Stigma to Hate Crimes,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Seba, Jaime A.","Homosexuality Around the World: Safe Havens, Cultural Challenges",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Williams, Mary E.",Homosexuality: Opposing Viewpoints,Banned Pending Investigation,,,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,Opposing Viewpoints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Konigsberg, Bill",Honestly Ben (Openly Straight Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Firmston, Kim",Hook Up,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abortion,American literature,Juvenile fiction,Teenage pregnancy"
"Greenman, Catherine",Hooked,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Domestic fiction,Fiction,Teenage pregnancy,Teenagers"
"Greenman, Catherine",Hooked,Banned from Libraries and Classrooms,,,,Texas,Frisco Independent School District,October 2022,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Domestic fiction,Fiction,Teenage pregnancy,Teenagers"
"Brock, Rose",Hope Nation: YA Authors Share Personal Moments of Inspiration,Banned Pending Investigation,"Abawi, Atia; Bryant, Howard; Carter, Ally; Condie, Ally; Gonzalez, Christina Diaz; Garber, Romina; Gregorio, I.W.; Hart, Kate; Kiely, Brendan; London, Alex; Lu, Marie; Ahdieh, Renée; Reynolds, Jason; Stone, Nic; Thomas, Angie; Sanchez, Jenny Torres; Yoon, Nicola; Forman, Gayle; Levithan, David; Zentner, Jeff; Saeed, Aisha; Dashner, James; Bray, Libba; Murphy, Julie",,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Ginwright, Shawn A.",Hope and Healing in Urban Education: How Urban Activists and Teachers are Reclaiming Matters of the Heart,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Hoover, Colleen",Hopeless,Banned Pending Investigation,,,,Wyoming,Park County School District #1,February 2023,Administration,Hopeless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fiction,Fiction, Romance, Contemporary, Life change events,Life change events"
"Hoover, Colleen",Hopeless,Banned Pending Investigation,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,Hopeless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fiction,Fiction, Romance, Contemporary, Life change events,Life change events"
"Hoover, Colleen",Hopeless,Banned from Libraries and Classrooms,,,,Florida,Martin County Schools,February 2023,Formal Challenge,Hopeless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fiction,Fiction, Romance, Contemporary, Life change events,Life change events"
"Bennett, Marguerite",Horde,Banned Pending Investigation,,"Leiz, Leila",,Missouri,Wentzville School District,September 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Rose, Rachel",Horror in Maryland,Banned from Libraries,,,,Wisconsin,School District of New London,February 2023,Formal Challenge,Scary States of Mind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"English, Karen",Hot Day on Abbott Avenue,Banned in Classrooms,,"Steptoe, Javaka",,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,Best friends,Best friends -- Fiction.,Children's fiction,Double dutch (Rope skipping),Fiction,Friendship,Friendship, fiction,Juvenile fiction,Rope skipping,Summer,Summer, fiction"
"Dugan, Jennifer",Hot Dog Girl,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Dating (social customs), fiction,Love, fiction,Parks, fiction"
"Picoult, Jodi",House Rules,Banned from Libraries and Classrooms,,,,Florida,Martin County Schools,February 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asperger's syndrome,Asperger's syndrome in fiction,Autistic youth,Autistic youth in fiction,Fiction,Forensic sciences,Forensic sciences in fiction,Investigation,Literature,Murder,Murder in fiction"
"Liparulo, Robert",House of Dark Shadows,Banned Pending Investigation,,,,Texas,Frisco Independent School District,October 2022,Administration,Dreamhouse Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"California, fiction,Children's fiction,Dwellings,Families,Family life,Family life, fiction,Fiction,Horror stories,Horror tales,Houses, fiction,Paranormal fiction,Supernatural,Supernatural, fiction"
