Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Genre,Genre1,Genre2,Genre3,Genre4,Genre5,remaining_genres,Coordinates
"Rapp, Adam",33 Snowfish,Banned in Libraries and Classrooms,,"Ering, Timothy Basil",,Idaho,Nampa School District,May 2022,Administrator,"Babies,Child sexual abuse,Child sexual abuse, fiction,Children's fiction,Fiction,Homeless persons,Homeless persons, fiction,Infants,Juvenile fiction,Middle west, fiction,Sexual abuse,Sick,Sick, fiction",Babies,Child sexual abuse, fiction,Children's fiction,Fiction,"Homeless persons,Infants,Juvenile fiction,Middle west,Sexual abuse,Sick","[44.3509, -114.613]"
"Rapp, Adam",33 Snowfish,Banned Pending Investigation,,"Ering, Timothy Basil",,Virginia,Spotsylvania County Public Schools,November 2021,Administrator,"Babies,Child sexual abuse,Child sexual abuse, fiction,Children's fiction,Fiction,Homeless persons,Homeless persons, fiction,Infants,Juvenile fiction,Middle west, fiction,Sexual abuse,Sick,Sick, fiction",Babies,Child sexual abuse, fiction,Children's fiction,Fiction,"Homeless persons,Infants,Juvenile fiction,Middle west,Sexual abuse,Sick","[37.4316, -78.6569]"
"Rapp, Adam",33 Snowfish,Banned Pending Investigation,,"Ering, Timothy Basil",,Michigan,Gladwin Community Schools,May 2022,Administrator,"Babies,Child sexual abuse,Child sexual abuse, fiction,Children's fiction,Fiction,Homeless persons,Homeless persons, fiction,Infants,Juvenile fiction,Middle west, fiction,Sexual abuse,Sick,Sick, fiction",Babies,Child sexual abuse, fiction,Children's fiction,Fiction,"Homeless persons,Infants,Juvenile fiction,Middle west,Sexual abuse,Sick","[44.3467, -85.4102]"
"Mosley, Walter",47,Banned Pending Investigation,,,,Texas,Keller Independent School District,Fall 2022,Formal Challenge,"African Americans,African americans, fiction,African americans, history, fiction,Children's fiction,Fiction,Freedom,Georgia, fiction,Historical fiction,History,Juvenile Fiction,Liberty,Magic,Magic, fiction,Plantation life,Slavery,Slavery, fiction,United states, history, 1783-1865, fiction,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks",African Americans,African americans, fiction, history,Children's fiction,"Fiction,Freedom,Georgia,Historical fiction,History,Juvenile Fiction,Liberty,Magic,Plantation life,Slavery,United states, 1783-1865,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks","[31.9686, -99.9018]"
"Mosley, Walter",47,Banned in Classrooms,,,,Texas,Keller Independent School District,November 2021,Formal Challenge,"African Americans,African americans, fiction,African americans, history, fiction,Children's fiction,Fiction,Freedom,Georgia, fiction,Historical fiction,History,Juvenile Fiction,Liberty,Magic,Magic, fiction,Plantation life,Slavery,Slavery, fiction,United states, history, 1783-1865, fiction,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks",African Americans,African americans, fiction, history,Children's fiction,"Fiction,Freedom,Georgia,Historical fiction,History,Juvenile Fiction,Liberty,Magic,Plantation life,Slavery,United states, 1783-1865,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks","[31.9686, -99.9018]"
"Adeyoha, Koja","47,000 Beads",Banned in Classrooms,"Adeyoha, Angel","McGillis, Holly",,Pennsylvania,Central York School District,August 2021,Administrator,"Clothing,Clothing and dress,Gender identity,Juvenile fiction,Lakota Indians,Rites and ceremonies,Sex differences",Clothing,Clothing and dress,Gender identity,Juvenile fiction,Lakota Indians,"Rites and ceremonies,Sex differences","[41.2033, -77.1945]"
"Köster, Thomas",50 Artists You Should Know,Banned Pending Investigation,"Röper, Lars",,,Missouri,Wentzville School District,September 2022,Legislative Action,"Art,Artists,Artists, biography,Biography,History,Painters",Art,Artists, biography,Biography,History,Painters,"[38.3566, -92.458]"
"Lowis, Kristina",50 Paintings You Should Know,Banned Pending Investigation,"Pickeral, Tamsin",,,Missouri,Wentzville School District,September 2022,Legislative Action,"Appreciation,Art appreciation,Artists, biography,Biography,Painters,Painting",Appreciation,Art appreciation,Artists, biography,Biography,"Painters,Painting","[38.3566, -92.458]"
"Kühl, Isabel",50 Sculptures You Should Know,Banned Pending Investigation,"Reichold, Klaus",,,Missouri,Wentzville School District,September 2022,Legislative Action,Unknown,Unknown,,,,,,"[38.3566, -92.458]"
"Weidemann, Christiane",50 Women Artists You Should Know,Banned Pending Investigation,"Larass, Petra; Klier, Melanie",,,Missouri,Wentzville School District,September 2022,Legislative Action,"Art,Artists, biography,Beeldende kunstenaars,Biography,History,History and criticism,Kunst,Künstlerin,Vrouwen,Women artists",Art,Artists, biography,Beeldende kunstenaars,Biography,"History,History and criticism,Kunst,Künstlerin,Vrouwen,Women artists","[38.3566, -92.458]"
San Francisco Writers' Grotto,642 Things to Write About,Banned in Classrooms,,,,Ohio,Hudson City Schools,September 2021,Administrator,"Creative writing,English language,Problems, exercises,Rhetoric",Creative writing,English language,Problems, exercises,Rhetoric,,"[40.4173, -82.9071]"
"Trueman, Terry",7 Days at the Hot Corner,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,"Baseball,Baseball, fiction,Best friends,Children's fiction,Fiction,Friendship,Friendship, fiction,Homosexuality,Homosexuality, fiction,Interpersonal relations,Interpersonal relations, fiction",Baseball, fiction,Best friends,Children's fiction,Fiction,"Friendship,Homosexuality,Interpersonal relations","[31.9686, -99.9018]"
"Trueman, Terry",7 Days at the Hot Corner,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,"Baseball,Baseball, fiction,Best friends,Children's fiction,Fiction,Friendship,Friendship, fiction,Homosexuality,Homosexuality, fiction,Interpersonal relations,Interpersonal relations, fiction",Baseball, fiction,Best friends,Children's fiction,Fiction,"Friendship,Homosexuality,Interpersonal relations","[31.9686, -99.9018]"
"Merey, I.",A + E 4ever,Banned from Libraries and Classrooms,,,,Texas,Keller Independent School District,Fall 2022,Formal Challenge,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Jamiolkowski, Raymond",A Baby Doesn't Make the Man: Alternative Sources of Power and Manhood for Young Men,Banned Pending Investigation,,,,Texas,Texarkana Independent School District,October 2022,Informal Challenge,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,"Adolescence,Adolescence, fiction,Children's fiction,Fiction,High schools,Juvenile Fiction,Juvenile fiction,Man-woman relationships,Schools, fiction,Sex",Adolescence, fiction,Children's fiction,Fiction,High schools,"Juvenile Fiction,Juvenile fiction,Man-woman relationships,Schools,Sex","[27.9944, -81.7603]"
"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"Adolescence,Adolescence, fiction,Children's fiction,Fiction,High schools,Juvenile Fiction,Juvenile fiction,Man-woman relationships,Schools, fiction,Sex",Adolescence, fiction,Children's fiction,Fiction,High schools,"Juvenile Fiction,Juvenile fiction,Man-woman relationships,Schools,Sex","[27.9944, -81.7603]"
"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,Banned from Libraries and Classrooms,,,,Florida,Lake County Schools,Fall 2022,Legislative Action,"Adolescence,Adolescence, fiction,Children's fiction,Fiction,High schools,Juvenile Fiction,Juvenile fiction,Man-woman relationships,Schools, fiction,Sex",Adolescence, fiction,Children's fiction,Fiction,High schools,"Juvenile Fiction,Juvenile fiction,Man-woman relationships,Schools,Sex","[27.9944, -81.7603]"
"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,Banned Pending Investigation,,,,Pennsylvania,Penncrest School District,February 2023,Administration,"Adolescence,Adolescence, fiction,Children's fiction,Fiction,High schools,Juvenile Fiction,Juvenile fiction,Man-woman relationships,Schools, fiction,Sex",Adolescence, fiction,Children's fiction,Fiction,High schools,"Juvenile Fiction,Juvenile fiction,Man-woman relationships,Schools,Sex","[41.2033, -77.1945]"
"Devore, Laurie",A Better Bad Idea,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,Unknown,Unknown,,,,,,"[35.5175, -86.5804]"
"Lin, Grace",A Big Mooncake for Little Star,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,"Children's fiction,Cookies,Fiction,Food, fiction,Juvenile fiction,Moon, fiction,Pastry,Phases,Stars,Stars, fiction,collectionID:caldecotthonor10",Children's fiction,Cookies,Fiction,Food, fiction,"Juvenile fiction,Moon,Pastry,Phases,Stars,collectionID:caldecotthonor10","[41.2033, -77.1945]"
"Boelts, Maribeth",A Bike Like Sergio's,Banned in Classrooms,,"Jones, Noah Z.",,Pennsylvania,Central York School District,August 2021,Administrator,"Children's fiction,Friendship, fiction,Picture books",Children's fiction,Friendship, fiction,Picture books,,,"[41.2033, -77.1945]"
"Arnold, Elana K.",A Boy Called Bat (A Boy Called Bat Series),Banned in Classrooms,,"Santoso, Charles",,Pennsylvania,Central York School District,August 2021,Administrator,Unknown,Unknown,,,,,,"[41.2033, -77.1945]"
"McCarthy, Helen",A Brief History of Manga,Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,Unknown,Unknown,,,,,,"[38.3566, -92.458]"
"Daemicke, Songju Ma",A Case of Sense,Banned Pending Investigation,,"Bersani, Shennen",,Florida,Duval County Public Schools,January 2022,Administrator,"Avarice,Children's fiction,Fiction,Greed,Greed, fiction,Juvenile fiction,Wisdom",Avarice,Children's fiction,Fiction,Greed, fiction,"Juvenile fiction,Wisdom","[27.9944, -81.7603]"
"Whitcomb, Laura",A Certain Slant of Light,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"Children's fiction,Fiction,Forgiveness,Future life,Future life, fiction,Ghost stories,Ghosts,Ghosts, fiction,Juvenile fiction",Children's fiction,Fiction,Forgiveness,Future life, fiction,"Ghost stories,Ghosts,Juvenile fiction","[27.9944, -81.7603]"
"Whitcomb, Laura",A Certain Slant of Light,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,"Children's fiction,Fiction,Forgiveness,Future life,Future life, fiction,Ghost stories,Ghosts,Ghosts, fiction,Juvenile fiction",Children's fiction,Fiction,Forgiveness,Future life, fiction,"Ghost stories,Ghosts,Juvenile fiction","[27.9944, -81.7603]"
"Pelzer, Dave","A Child Called ""It"": One Child's Courage to Survive",Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Pelzer, Dave","A Child Called ""It"": One Child's Courage to Survive",Banned from Libraries,,,,Michigan,Chippewa Valley Schools,January 2023,Formal Challenge,Unknown,Unknown,,,,,,"[44.3467, -85.4102]"
"Maccarone, Grace",A Child Was Born: A Christmas Story,Banned from Libraries and Classrooms,,"Williams, Sam",,Florida,Brevard Public Schools,June 2023,Informal Challenge,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Stoddard, Sandol",A Child's First Bible,Banned from Libraries and Classrooms,,"Chen, Tony",,Florida,Brevard Public Schools,June 2023,Informal Challenge,"Bible,Bible stories,Bible, juvenile literature,English Bible stories",Bible,Bible stories, juvenile literature,English Bible stories,,,"[27.9944, -81.7603]"
"Williams, Karin",A Child's Story of Christmas,Banned from Libraries and Classrooms,,,,Florida,Brevard Public Schools,June 2023,Informal Challenge,"Christmas,Jesus christ, nativity,Jesus christ, nativity, juvenile literature,Juvenile literature,Nativity",Christmas,Jesus christ, nativity, juvenile literature,Juvenile literature,Nativity,"[27.9944, -81.7603]"
"Martin, George R. R.",A Clash of Kings,Banned from Libraries and Classrooms,,,,Texas,Frisco Independent School District,September 2022,Administration,"Action & Adventure,Alchemy,Alquimia,American Fantasy fiction,American literature,Betrayal,Brothers,Civil war,Dragons,Dystopian,Epic,Fantasy,Fantasy - Epic,Fantasy - Series,Fantasy fiction,Ficción,Fiction,Fiction - Fantasy,Fiction / Fantasy / Epic,Fiction, fantasy, epic,Good and evil,Guerras imaginarias,Imaginary places,Imaginary wars and battles,Kings and rulers,Magic,New York Times bestseller,Novela,Refugees,Revenge,Reyes y soberanos,Romans, nouvelles,Science Fiction,Seven Kingdoms (Imaginary place),Seven kingdoms (imaginary place), fiction,Traición,Viajes,Voyages and travels,nyt:trade_fiction_paperback=2011-12-31",Action & Adventure,Alchemy,Alquimia,American Fantasy fiction,American literature,"Betrayal,Brothers,Civil war,Dragons,Dystopian,Epic,Fantasy,Fantasy - Epic,Fantasy - Series,Fantasy fiction,Ficción,Fiction,Fiction - Fantasy,Fiction / Fantasy / Epic, fantasy, epic,Good and evil,Guerras imaginarias,Imaginary places,Imaginary wars and battles,Kings and rulers,Magic,New York Times bestseller,Novela,Refugees,Revenge,Reyes y soberanos,Romans, nouvelles,Science Fiction,Seven Kingdoms (Imaginary place),Seven kingdoms (imaginary place), fiction,Traición,Viajes,Voyages and travels,nyt:trade_fiction_paperback=2011-12-31","[31.9686, -99.9018]"
"Martin, George R. R.",A Clash of Kings,Banned Pending Investigation,,,,Pennsylvania,Penncrest School District,February 2023,Administration,"Action & Adventure,Alchemy,Alquimia,American Fantasy fiction,American literature,Betrayal,Brothers,Civil war,Dragons,Dystopian,Epic,Fantasy,Fantasy - Epic,Fantasy - Series,Fantasy fiction,Ficción,Fiction,Fiction - Fantasy,Fiction / Fantasy / Epic,Fiction, fantasy, epic,Good and evil,Guerras imaginarias,Imaginary places,Imaginary wars and battles,Kings and rulers,Magic,New York Times bestseller,Novela,Refugees,Revenge,Reyes y soberanos,Romans, nouvelles,Science Fiction,Seven Kingdoms (Imaginary place),Seven kingdoms (imaginary place), fiction,Traición,Viajes,Voyages and travels,nyt:trade_fiction_paperback=2011-12-31",Action & Adventure,Alchemy,Alquimia,American Fantasy fiction,American literature,"Betrayal,Brothers,Civil war,Dragons,Dystopian,Epic,Fantasy,Fantasy - Epic,Fantasy - Series,Fantasy fiction,Ficción,Fiction,Fiction - Fantasy,Fiction / Fantasy / Epic, fantasy, epic,Good and evil,Guerras imaginarias,Imaginary places,Imaginary wars and battles,Kings and rulers,Magic,New York Times bestseller,Novela,Refugees,Revenge,Reyes y soberanos,Romans, nouvelles,Science Fiction,Seven Kingdoms (Imaginary place),Seven kingdoms (imaginary place), fiction,Traición,Viajes,Voyages and travels,nyt:trade_fiction_paperback=2011-12-31","[41.2033, -77.1945]"
